"","subj","rt_log","valenceE","t1","t2"
"1",1,7.95,-0.5,1,0
"2",1,6.98,-0.5,1,0
"3",1,6.86,-0.5,1,0
"4",1,7.34,-0.5,1,0
"5",1,7.08,-0.5,1,0
"6",1,7.26,-0.5,1,0
"7",1,6.83,-0.5,1,0
"8",1,6.69,-0.5,1,0
"9",1,6.78,-0.5,1,0
"10",1,6.63,-0.5,1,0
"11",1,6.97,-0.5,0,1
"12",1,7.37,-0.5,0,1
"13",1,7.6,-0.5,0,1
"14",1,7.16,-0.5,0,1
"15",1,7.1,-0.5,0,1
"16",1,7.08,-0.5,0,1
"17",1,7.7,-0.5,0,1
"18",1,7.25,-0.5,0,1
"19",1,6.69,0.5,1,0
"20",1,6.59,0.5,1,0
"21",1,6.78,0.5,1,0
"22",1,6.74,0.5,1,0
"23",1,6.55,0.5,1,0
"24",1,7.25,0.5,1,0
"25",1,6.73,0.5,1,0
"26",1,7.41,0.5,1,0
"27",1,6.5,0.5,1,0
"28",1,6.77,0.5,1,0
"29",1,6.53,0.5,1,0
"30",1,6.78,0.5,1,0
"31",1,7.44,0.5,1,0
"32",1,6.74,0.5,1,0
"33",1,7.19,0.5,1,0
"34",1,7.85,0.5,1,0
"35",1,7.22,0.5,0,1
"36",1,6.44,0.5,0,1
"37",1,6.75,0.5,0,1
"38",1,6.5,0.5,0,1
"39",1,6.37,0.5,0,1
"40",1,6.54,0.5,0,1
"41",1,7.11,0.5,0,1
"42",1,6.73,0.5,0,1
"43",1,7.39,0.5,0,1
"44",1,7.07,0.5,0,1
"45",1,7.19,0.5,0,1
"46",1,7.55,0.5,0,1
"47",1,7.82,0.5,0,1
"48",1,6.91,0.5,0,1
"49",3,7.19,-0.5,1,0
"50",3,7.52,-0.5,1,0
"51",3,7.76,-0.5,1,0
"52",3,7.12,-0.5,0,1
"53",3,7.16,-0.5,0,1
"54",3,7.11,0.5,1,0
"55",3,7.01,0.5,1,0
"56",3,7.13,0.5,1,0
"57",3,7.27,0.5,1,0
"58",3,7,0.5,1,0
"59",3,7.05,0.5,1,0
"60",3,6.87,0.5,1,0
"61",3,6.89,0.5,1,0
"62",3,6.82,0.5,1,0
"63",3,6.66,0.5,0,1
"64",3,6.89,0.5,0,1
"65",3,6.97,0.5,0,1
"66",3,6.89,0.5,0,1
"67",3,6.7,0.5,0,1
"68",3,6.84,0.5,0,1
"69",3,6.9,0.5,0,1
"70",3,7.02,0.5,0,1
"71",3,7.23,0.5,0,1
"72",4,7.15,-0.5,1,0
"73",4,6.69,-0.5,1,0
"74",4,6.47,-0.5,1,0
"75",4,7.09,-0.5,1,0
"76",4,6.72,-0.5,1,0
"77",4,6.93,-0.5,1,0
"78",4,6.93,-0.5,1,0
"79",4,7.18,-0.5,1,0
"80",4,7.16,-0.5,0,1
"81",4,6.4,-0.5,0,1
"82",4,6.99,-0.5,0,1
"83",4,6.32,-0.5,0,1
"84",4,6.72,-0.5,0,1
"85",4,6.82,-0.5,0,1
"86",4,6.7,-0.5,0,1
"87",4,6.45,-0.5,0,1
"88",4,6.41,-0.5,0,1
"89",4,6.64,-0.5,0,1
"90",4,6.42,-0.5,0,1
"91",4,6.43,-0.5,0,1
"92",4,6.62,-0.5,0,1
"93",4,7.21,0.5,1,0
"94",4,6.98,0.5,1,0
"95",4,6.99,0.5,1,0
"96",4,6.68,0.5,1,0
"97",4,6.93,0.5,1,0
